epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
19,2020-05-06,51,AC,,12,state,943,106.92398,126,35,6,0.0371,881935,True,False
19,2020-05-06,60,AL,,27,state,1703,51.0284,98,89,9,0.0523,3337357,True,False
19,2020-05-06,55,AM,,13,state,9243,223.01324,1134,751,102,0.0813,4144597,True,False
19,2020-05-06,48,AP,,16,state,2046,241.92089,115,56,1,0.0274,845731,True,False
19,2020-05-06,62,BA,,29,state,4301,28.91805,261,160,14,0.0372,14873064,True,False
19,2020-05-06,52,CE,,23,state,12310,134.79955,840,849,54,0.069,9132078,True,False
19,2020-05-06,61,DF,,53,state,1837,60.92327,0,34,0,0.0185,3015268,False,True
19,2020-05-06,63,ES,,32,state,3714,92.4191,174,146,13,0.0393,4018650,True,False
19,2020-05-06,56,GO,,52,state,922,13.13698,0,38,0,0.0412,7018354,False,True
19,2020-05-06,48,MA,,21,state,5389,76.16766,361,305,14,0.0566,7075181,True,False
19,2020-05-06,60,MG,,31,state,2605,12.30585,153,97,3,0.0372,21168791,True,False
19,2020-05-06,54,MS,,50,state,288,10.36349,5,10,0,0.0347,2778986,True,False
19,2020-05-06,48,MT,,51,state,385,11.04904,19,13,0,0.0338,3484466,True,False
19,2020-05-06,50,PA,,15,state,5524,64.21117,768,410,35,0.0742,8602865,True,False
19,2020-05-06,56,PB,,25,state,1657,41.23812,164,101,9,0.061,4018127,True,False
19,2020-05-06,56,PE,,26,state,9325,97.57174,0,749,0,0.0803,9557071,False,True
19,2020-05-06,49,PI,,22,state,1051,32.10899,102,35,5,0.0333,3273227,True,False
19,2020-05-06,56,PR,,41,state,1647,14.40446,39,104,2,0.0631,11433957,True,False
19,2020-05-06,63,RJ,,33,state,13295,77.00576,904,1205,82,0.0906,17264943,True,False
19,2020-05-06,56,RN,,24,state,1644,46.87964,0,72,0,0.0438,3506853,False,True
19,2020-05-06,48,RO,,11,state,943,53.06025,82,33,4,0.035,1777225,True,False
19,2020-05-06,47,RR,,14,state,932,153.85606,63,13,2,0.0139,605761,True,False
19,2020-05-06,58,RS,,43,state,2100,18.45791,81,90,7,0.0429,11377239,True,False
19,2020-05-06,56,SC,,42,state,2917,40.713,122,59,1,0.0202,7164788,True,False
19,2020-05-06,54,SE,,28,state,898,39.06563,0,21,0,0.0234,2298696,False,True
19,2020-05-06,72,SP,,35,state,37853,82.4342,3800,3045,194,0.0804,45919049,True,False
19,2020-05-06,50,TO,,17,state,351,22.31595,0,9,0,0.0256,1572866,False,True
19,2020-05-05,50,AC,,12,state,817,92.63721,84,29,1,0.0355,881935,False,False
19,2020-05-05,59,AL,,27,state,1605,48.09195,67,80,8,0.0498,3337357,False,False
19,2020-05-05,54,AM,,13,state,8109,195.65232,796,649,64,0.08,4144597,False,False
19,2020-05-05,47,AP,,16,state,1931,228.32319,198,55,6,0.0285,845731,False,False
19,2020-05-05,61,BA,,29,state,4040,27.1632,306,146,5,0.0361,14873064,False,False
19,2020-05-05,51,CE,,23,state,11470,125.6012,430,795,83,0.0693,9132078,False,False
19,2020-05-05,60,DF,,53,state,1837,60.92327,44,34,1,0.0185,3015268,True,False
19,2020-05-05,62,ES,,32,state,3540,88.08928,189,133,10,0.0376,4018650,False,False
19,2020-05-05,55,GO,,52,state,922,13.13698,61,38,8,0.0412,7018354,True,False
19,2020-05-05,47,MA,,21,state,5028,71.06532,498,291,20,0.0579,7075181,False,False
19,2020-05-05,59,MG,,31,state,2452,11.58309,105,94,4,0.0383,21168791,False,False
19,2020-05-05,53,MS,,50,state,283,10.18357,9,10,0,0.0353,2778986,False,False
