epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
20,2020-05-12,62,PE,,26,state,14309,149.7216,541,1157,70,0.0809,9557071,True,False
20,2020-05-11,61,PE,,26,state,13768,144.06087,493,1087,40,0.079,9557071,False,False
20,2020-05-10,60,PE,,26,state,13275,138.90239,805,1047,75,0.0789,9557071,False,False
19,2020-05-09,59,PE,,26,state,12470,130.47931,883,972,45,0.0779,9557071,False,False
19,2020-05-08,58,PE,,26,state,11587,121.24007,763,927,82,0.08,9557071,False,False
19,2020-05-07,57,PE,,26,state,10824,113.25646,943,845,42,0.0781,9557071,False,False
19,2020-05-06,56,PE,,26,state,9881,103.38942,556,803,54,0.0813,9557071,False,False
19,2020-05-05,55,PE,,26,state,9325,97.57174,462,749,58,0.0803,9557071,False,False
19,2020-05-04,54,PE,,26,state,8863,92.73762,220,691,39,0.078,9557071,False,False
19,2020-05-03,53,PE,,26,state,8643,90.43566,498,652,24,0.0754,9557071,False,False
18,2020-05-02,52,PE,,26,state,8145,85.22486,811,628,25,0.0771,9557071,False,False
18,2020-05-01,51,PE,,26,state,7334,76.73899,458,603,38,0.0822,9557071,False,False
18,2020-04-30,50,PE,,26,state,6876,71.94673,682,565,27,0.0822,9557071,False,False
18,2020-04-29,49,PE,,26,state,6194,64.81065,470,538,30,0.0869,9557071,False,False
18,2020-04-28,48,PE,,26,state,5724,59.89283,366,508,58,0.0887,9557071,False,False
18,2020-04-27,47,PE,,26,state,5358,56.0632,460,450,35,0.084,9557071,False,False
18,2020-04-26,46,PE,,26,state,4898,51.25001,391,415,34,0.0847,9557071,False,False
17,2020-04-25,45,PE,,26,state,4507,47.1588,508,381,29,0.0845,9557071,False,False
17,2020-04-24,44,PE,,26,state,3999,41.84336,395,352,40,0.088,9557071,False,False
17,2020-04-23,43,PE,,26,state,3604,37.7103,306,312,30,0.0866,9557071,False,False
17,2020-04-22,42,PE,,26,state,3298,34.50848,390,282,22,0.0855,9557071,False,False
17,2020-04-21,41,PE,,26,state,2908,30.42773,218,260,26,0.0894,9557071,False,False
17,2020-04-20,40,PE,,26,state,2690,28.1467,231,234,18,0.087,9557071,False,False
17,2020-04-19,39,PE,,26,state,2459,25.72964,266,216,11,0.0878,9557071,False,False
16,2020-04-18,38,PE,,26,state,2193,22.94636,187,205,19,0.0935,9557071,False,False
16,2020-04-17,37,PE,,26,state,2006,20.98969,323,186,26,0.0927,9557071,False,False
16,2020-04-16,36,PE,,26,state,1683,17.61,199,160,17,0.0951,9557071,False,False
16,2020-04-15,35,PE,,26,state,1484,15.52777,200,143,28,0.0964,9557071,False,False
16,2020-04-14,34,PE,,26,state,1284,13.43508,130,115,13,0.0896,9557071,False,False
16,2020-04-13,33,PE,,26,state,1154,12.07483,194,102,17,0.0884,9557071,False,False
16,2020-04-12,32,PE,,26,state,960,10.04492,144,85,13,0.0885,9557071,False,False
15,2020-04-11,31,PE,,26,state,816,8.53818,132,72,7,0.0882,9557071,False,False
15,2020-04-10,30,PE,,26,state,684,7.157,129,65,9,0.095,9557071,False,False
15,2020-04-09,29,PE,,26,state,555,5.80722,154,56,10,0.1009,9557071,False,False
15,2020-04-08,28,PE,,26,state,401,4.19585,49,46,12,0.1147,9557071,False,False
15,2020-04-07,27,PE,,26,state,352,3.68314,129,34,4,0.0966,9557071,False,False
15,2020-04-06,26,PE,,26,state,223,2.33335,22,30,9,0.1345,9557071,False,False
15,2020-04-05,25,PE,,26,state,201,2.10315,25,21,7,0.1045,9557071,False,False
14,2020-04-04,24,PE,,26,state,176,1.84157,40,14,4,0.0795,9557071,False,False
14,2020-04-03,23,PE,,26,state,136,1.42303,30,10,1,0.0735,9557071,False,False
14,2020-04-02,22,PE,,26,state,106,1.10913,11,9,1,0.0849,9557071,False,False
14,2020-04-01,21,PE,,26,state,95,0.99403,8,8,2,0.0842,9557071,False,False
14,2020-03-31,20,PE,,26,state,87,0.91032,10,6,0,0.069,9557071,False,False
14,2020-03-30,19,PE,,26,state,77,0.80569,4,6,1,0.0779,9557071,False,False
14,2020-03-29,18,PE,,26,state,73,0.76383,5,5,0,0.0685,9557071,False,False
13,2020-03-28,17,PE,,26,state,68,0.71152,11,5,1,0.0735,9557071,False,False
13,2020-03-27,16,PE,,26,state,57,0.59642,9,4,1,0.0702,9557071,False,False
