epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
21,2020-05-18,40,PE,Abreu e Lima,2600054,city,201,201.0201,0,15,0,0.0746,99990,True,False
21,2020-05-18,20,PE,Afogados da Ingazeira,2600104,city,5,13.41958,0,0,0,0.0,37259,True,False
21,2020-05-18,20,PE,Afrânio,2600203,city,1,5.09295,0,0,0,0.0,19635,True,False
21,2020-05-18,25,PE,Agrestina,2600302,city,5,20.09243,0,3,0,0.6,24885,True,False
21,2020-05-18,23,PE,Água Preta,2600401,city,57,155.01346,0,8,0,0.1404,36771,True,False
21,2020-05-18,17,PE,Águas Belas,2600500,city,46,105.88587,0,1,0,0.0217,43443,True,False
21,2020-05-18,30,PE,Alagoinha,2600609,city,3,20.4974,0,0,0,0.0,14636,True,False
21,2020-05-18,48,PE,Aliança,2600708,city,32,83.36373,0,10,0,0.3125,38386,True,False
21,2020-05-18,30,PE,Altinho,2600807,city,6,26.11875,0,0,0,0.0,22972,True,False
21,2020-05-18,33,PE,Amaraji,2600906,city,20,87.60787,0,5,0,0.25,22829,True,False
21,2020-05-18,36,PE,Araçoiaba,2601052,city,14,68.21282,0,2,0,0.1429,20524,True,False
21,2020-05-18,16,PE,Araripina,2601102,city,17,20.13789,0,1,0,0.0588,84418,True,False
21,2020-05-18,41,PE,Arcoverde,2601201,city,45,60.53432,0,7,0,0.1556,74338,True,False
21,2020-05-18,8,PE,Barra de Guabiraba,2601300,city,4,27.80674,0,1,0,0.25,14385,True,False
21,2020-05-18,18,PE,Barreiros,2601409,city,34,79.70182,0,3,0,0.0882,42659,True,False
21,2020-05-18,12,PE,Belém de Maria,2601508,city,0,,0,0,0,0.0,12073,True,False
21,2020-05-18,4,PE,Belém do São Francisco,2601607,city,2,9.64832,0,0,0,0.0,20729,True,False
21,2020-05-18,63,PE,Belo Jardim,2601706,city,18,23.54819,0,1,0,0.0556,76439,True,False
21,2020-05-18,24,PE,Betânia,2601805,city,4,31.44901,0,1,0,0.25,12719,True,False
21,2020-05-18,36,PE,Bezerros,2601904,city,26,42.76456,0,1,0,0.0385,60798,True,False
21,2020-05-18,8,PE,Bodocó,2602001,city,3,7.86452,0,0,0,0.0,38146,True,False
21,2020-05-18,39,PE,Bom Conselho,2602100,city,25,51.48906,0,1,0,0.04,48554,True,False
21,2020-05-18,42,PE,Bom Jardim,2602209,city,22,56.14537,0,7,0,0.3182,39184,True,False
21,2020-05-18,31,PE,Bonito,2602308,city,12,31.46798,0,4,0,0.3333,38134,True,False
21,2020-05-18,17,PE,Brejo da Madre de Deus,2602605,city,16,31.53206,0,0,0,0.0,50742,True,False
21,2020-05-18,16,PE,Buenos Aires,2602704,city,6,45.61003,0,1,0,0.1667,13155,True,False
21,2020-05-18,16,PE,Buíque,2602803,city,5,8.56487,0,0,0,0.0,58378,True,False
21,2020-05-18,46,PE,Cabo de Santo Agostinho,2602902,city,355,171.45783,0,54,0,0.1521,207048,True,False
21,2020-05-18,24,PE,Cabrobó,2603009,city,2,5.84436,0,1,0,0.5,34221,True,False
21,2020-05-18,43,PE,Cachoeirinha,2603108,city,18,88.32188,0,0,0,0.0,20380,True,False
21,2020-05-18,30,PE,Caetés,2603207,city,9,31.31633,0,2,0,0.2222,28739,True,False
21,2020-05-18,3,PE,Calçado,2603306,city,1,9.04732,0,0,0,0.0,11053,True,False
21,2020-05-18,53,PE,Camaragibe,2603454,city,593,375.72547,0,38,0,0.0641,157828,True,False
21,2020-05-18,26,PE,Camocim de São Félix,2603504,city,9,47.96163,0,0,0,0.0,18765,True,False
21,2020-05-18,10,PE,Camutanga,2603603,city,7,81.86177,0,1,0,0.1429,8551,True,False
21,2020-05-18,8,PE,Canhotinho,2603702,city,2,8.06322,0,0,0,0.0,24804,True,False
21,2020-05-18,40,PE,Capoeiras,2603801,city,3,14.96409,0,1,0,0.3333,20048,True,False
21,2020-05-18,35,PE,Carnaíba,2603900,city,5,25.57414,0,4,0,0.8,19551,True,False
21,2020-05-18,23,PE,Carnaubeira da Penha,2603926,city,2,15.46551,0,1,0,0.5,12932,True,False
21,2020-05-18,40,PE,Carpina,2604007,city,49,58.58371,0,9,0,0.1837,83641,True,False
21,2020-05-18,57,PE,Caruaru,2604106,city,139,38.49157,0,12,0,0.0863,361118,True,False
21,2020-05-18,5,PE,Casinhas,2604155,city,1,6.97301,0,0,0,0.0,14341,True,False
21,2020-05-18,42,PE,Catende,2604205,city,17,39.63443,0,6,0,0.3529,42892,True,False
21,2020-05-18,23,PE,Cedro,2604304,city,1,8.46955,0,0,0,0.0,11807,True,False
21,2020-05-18,35,PE,Chã de Alegria,2604403,city,38,281.10667,0,2,0,0.0526,13518,True,False
21,2020-05-18,37,PE,Chã Grande,2604502,city,48,221.21855,0,4,0,0.0833,21698,True,False
21,2020-05-18,26,PE,Condado,2604601,city,33,124.90065,0,4,0,0.1212,26421,True,False
21,2020-05-18,25,PE,Correntes,2604700,city,3,16.47718,0,1,0,0.3333,18207,True,False
21,2020-05-18,19,PE,Cortês,2604809,city,14,111.30545,0,3,0,0.2143,12578,True,False
21,2020-05-18,19,PE,Cumaru,2604908,city,12,110.03118,0,0,0,0.0,10906,True,False
21,2020-05-18,33,PE,Cupira,2605004,city,14,58.07442,0,1,0,0.0714,24107,True,False
21,2020-05-18,30,PE,Custódia,2605103,city,24,64.67085,0,2,0,0.0833,37111,True,False
21,2020-05-18,33,PE,Escada,2605202,city,68,98.72958,0,8,0,0.1176,68875,True,False
21,2020-05-18,33,PE,Feira Nova,2605400,city,38,171.70485,0,5,0,0.1316,22131,True,False
21,2020-05-18,53,PE,Fernando de Noronha,2605459,city,28,914.73375,0,0,0,0.0,3061,True,False
21,2020-05-18,29,PE,Ferreiros,2605509,city,24,197.9708,0,4,0,0.1667,12123,True,False
21,2020-05-18,21,PE,Flores,2605608,city,0,,0,0,0,0.0,22624,True,False
21,2020-05-18,15,PE,Floresta,2605707,city,6,18.25206,0,2,0,0.3333,32873,True,False
21,2020-05-18,40,PE,Frei Miguelinho,2605806,city,35,226.43463,0,3,0,0.0857,15457,True,False
21,2020-05-18,38,PE,Gameleira,2605905,city,9,28.98364,0,3,0,0.3333,31052,True,False
21,2020-05-18,40,PE,Garanhuns,2606002,city,76,54.36804,0,4,0,0.0526,139788,True,False
21,2020-05-18,37,PE,Glória do Goitá,2606101,city,42,137.23696,0,10,0,0.2381,30604,True,False
21,2020-05-18,53,PE,Goiana,2606200,city,157,196.84546,0,11,0,0.0701,79758,True,False
21,2020-05-18,23,PE,Granito,2606309,city,1,13.35827,0,0,0,0.0,7486,True,False
21,2020-05-18,36,PE,Gravatá,2606408,city,42,49.95599,0,4,0,0.0952,84074,True,False
21,2020-05-18,25,PE,Ibimirim,2606606,city,16,54.72892,0,4,0,0.25,29235,True,False
21,2020-05-18,19,PE,Ibirajuba,2606705,city,1,12.88328,0,0,0,0.0,7762,True,False
21,2020-05-18,42,PE,Igarassu,2606804,city,188,160.65767,0,27,0,0.1436,117019,True,False
21,2020-05-18,23,PE,Iguaracy,2606903,city,5,40.88976,0,0,0,0.0,12228,True,False
21,2020-05-18,35,PE,Ilha de Itamaracá,2607604,city,30,114.25089,0,1,0,0.0333,26258,True,False
