epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
20,2020-05-12,62,PE,Recife,2611606,city,6581,399.88406,-643,385,-40,0.0585,1645727,True,False
20,2020-05-11,61,PE,Recife,2611606,city,7224,438.95494,240,425,10,0.0588,1645727,False,False
20,2020-05-10,60,PE,Recife,2611606,city,6984,424.37172,403,415,30,0.0594,1645727,False,False
19,2020-05-09,59,PE,Recife,2611606,city,6581,399.88406,806,385,31,0.0585,1645727,False,False
19,2020-05-08,58,PE,Recife,2611606,city,5775,350.90875,0,354,0,0.0613,1645727,False,False
19,2020-05-07,57,PE,Recife,2611606,city,5775,350.90875,968,354,59,0.0613,1645727,False,False
19,2020-05-06,56,PE,Recife,2611606,city,4807,292.08976,0,295,0,0.0614,1645727,False,False
19,2020-05-05,55,PE,Recife,2611606,city,4807,292.08976,0,295,0,0.0614,1645727,False,False
19,2020-05-04,54,PE,Recife,2611606,city,4807,292.08976,105,295,22,0.0614,1645727,False,False
19,2020-05-03,53,PE,Recife,2611606,city,4702,285.7096,249,273,6,0.0581,1645727,False,False
18,2020-05-02,52,PE,Recife,2611606,city,4453,270.57951,432,267,10,0.06,1645727,False,False
18,2020-05-01,51,PE,Recife,2611606,city,4021,244.32971,241,257,7,0.0639,1645727,False,False
18,2020-04-30,50,PE,Recife,2611606,city,3780,229.68573,357,250,14,0.0661,1645727,False,False
18,2020-04-29,49,PE,Recife,2611606,city,3423,207.99318,265,236,17,0.0689,1645727,False,False
18,2020-04-28,48,PE,Recife,2611606,city,3158,191.89088,187,219,24,0.0693,1645727,False,False
18,2020-04-27,47,PE,Recife,2611606,city,2971,180.52812,249,195,13,0.0656,1645727,False,False
18,2020-04-26,46,PE,Recife,2611606,city,2722,165.39803,946,182,18,0.0669,1645727,False,False
17,2020-04-25,45,PE,Recife,2611606,city,1776,107.91583,129,164,12,0.0923,1645727,False,False
17,2020-04-24,44,PE,Recife,2611606,city,1647,100.07735,-415,152,14,0.0923,1645727,False,False
17,2020-04-23,43,PE,Recife,2611606,city,2062,125.29417,158,138,14,0.0669,1645727,False,False
17,2020-04-22,42,PE,Recife,2611606,city,1904,115.69355,217,124,10,0.0651,1645727,False,False
17,2020-04-21,41,PE,Recife,2611606,city,1687,102.50789,135,114,7,0.0676,1645727,False,False
17,2020-04-20,40,PE,Recife,2611606,city,1552,94.30483,153,107,7,0.0689,1645727,False,False
17,2020-04-19,39,PE,Recife,2611606,city,1399,85.00802,144,100,6,0.0715,1645727,False,False
16,2020-04-18,38,PE,Recife,2611606,city,1255,76.25809,119,94,9,0.0749,1645727,False,False
16,2020-04-17,37,PE,Recife,2611606,city,1136,69.02724,178,85,15,0.0748,1645727,False,False
16,2020-04-16,36,PE,Recife,2611606,city,958,58.21136,101,70,8,0.0731,1645727,False,False
16,2020-04-15,35,PE,Recife,2611606,city,857,52.07425,124,62,12,0.0723,1645727,False,False
16,2020-04-14,34,PE,Recife,2611606,city,733,44.53959,61,50,4,0.0682,1645727,False,False
16,2020-04-13,33,PE,Recife,2611606,city,672,40.83302,115,46,9,0.0685,1645727,False,False
16,2020-04-12,32,PE,Recife,2611606,city,557,33.84522,71,37,3,0.0664,1645727,False,False
15,2020-04-11,31,PE,Recife,2611606,city,486,29.53102,73,34,2,0.07,1645727,False,False
15,2020-04-10,30,PE,Recife,2611606,city,413,25.09529,73,32,5,0.0775,1645727,False,False
15,2020-04-09,29,PE,Recife,2611606,city,340,20.65956,86,27,6,0.0794,1645727,False,False
15,2020-04-08,28,PE,Recife,2611606,city,254,15.43391,33,21,3,0.0827,1645727,False,False
15,2020-04-07,27,PE,Recife,2611606,city,221,13.42872,75,18,2,0.0814,1645727,False,False
15,2020-04-06,26,PE,Recife,2611606,city,146,8.87146,7,16,2,0.1096,1645727,False,False
15,2020-04-05,25,PE,Recife,2611606,city,139,8.44612,20,14,4,0.1007,1645727,False,False
14,2020-04-04,24,PE,Recife,2611606,city,119,7.23085,27,10,4,0.084,1645727,False,False
14,2020-04-03,23,PE,Recife,2611606,city,92,5.59023,18,6,0,0.0652,1645727,False,False
14,2020-04-02,22,PE,Recife,2611606,city,74,4.49649,10,6,1,0.0811,1645727,False,False
14,2020-04-01,21,PE,Recife,2611606,city,64,3.88886,6,5,1,0.0781,1645727,False,False
14,2020-03-31,20,PE,Recife,2611606,city,58,3.52428,6,4,0,0.069,1645727,False,False
14,2020-03-30,19,PE,Recife,2611606,city,52,3.1597,2,4,0,0.0769,1645727,False,False
14,2020-03-29,18,PE,Recife,2611606,city,50,3.03817,4,4,0,0.08,1645727,False,False
13,2020-03-28,17,PE,Recife,2611606,city,46,2.79512,8,4,1,0.087,1645727,False,False
13,2020-03-27,16,PE,Recife,2611606,city,38,2.30901,5,3,1,0.0789,1645727,False,False
13,2020-03-26,15,PE,Recife,2611606,city,33,2.00519,2,2,1,0.0606,1645727,False,False
