Posição;Sigla;Doméstico;Internacional;Total;Partic.;Freq.
1;SBSP;22125205;507;22125712;26,28;26,28
2;SBRJ;9206052;7;9206059;10,94;37,22
3;SBRF;7883284;539282;8422566;10,01;47,22
4;SBCT;6231787;78626;6310413;7,5;54,72
5;SBBE;3347732;173071;3520803;4,18;58,9
6;SBGO;3224837;0;3224837;3,83;62,73
7;SBVT;3096046;31;3096077;3,68;66,41
8;SBCY;3032149;0;3032149;3,6;70,01
9;SBEG;2695848;131767;2827615;3,36;73,37
10;SBFI;2221827;120662;2342489;2,78;76,15
11;SBMO;2174651;17911;2192562;2,6;78,76
12;SBNF;1861500;47476;1908976;2,27;81,03
13;SBSL;1597966;38;1598004;1,9;82,92
14;SBCG;1577319;1266;1578585;1,88;84,8
15;SBJP;1411280;3616;1414896;1,68;86,48
16;SBAR;1191891;2;1191893;1,42;87,9
17;SBUL;1134050;100;1134150;1,35;89,24
18;SBTE;1073570;0;1073570;1,28;90,52
19;SBLO;977254;0;977254;1,16;91,68
20;SBPV;828136;3;828139;0,98;92,66
21;SBPJ;675967;4;675971;0,8;93,47
22;SBJU;563895;0;563895;0,67;94,14
23;SBMQ;546030;0;546030;0,65;94,79
24;SBJV;486023;0;486023;0,58;95,36
25;SBPL;483588;8;483596;0,57;95,94
26;SBSN;473817;1;473818;0,56;96,5
27;SBBV;309094;110;309204;0,37;96,87
28;SBRB;308721;0;308721;0,37;97,23
29;SBIZ;285370;0;285370;0,34;97,57
30;SBMA;279975;0;279975;0,33;97,91
31;SBMK;225038;14;225052;0,27;98,17
32;SBBH;205067;548;205615;0,24;98,42
33;SBJR;197323;22;197345;0,23;98,65
34;SBKG;168278;0;168278;0,2;98,85
35;SBME;149622;0;149622;0,18;99,03
36;SBCJ;124933;0;124933;0,15;99,18
37;SBMT;118872;0;118872;0,14;99,32
38;SBHT;100342;0;100342;0,12;99,44
39;SBUR;77017;0;77017;0,09;99,53
40;SBCZ;76451;0;76451;0,09;99,62
41;SBTT;67252;135;67387;0,08;99,7
42;SBSJ;37772;503;38275;0,05;99,75
43;SBPK;33799;94;33893;0,04;99,79
44;SBTF;33594;0;33594;0,04;99,83
45;SBBI;31644;10;31654;0,04;99,86
46;SBCR;31112;183;31295;0,04;99,9
47;SBUG;21509;0;21509;0,03;99,93
48;SBPR;21382;0;21382;0,03;99,95
49;SBUF;13161;0;13161;0,02;99,97
50;SBPB;11440;0;11440;0,01;99,98
51;SBJC;11006;0;11006;0,01;99,99
52;SBPP;3553;192;3745;0;100
53;SBBG;1351;95;1446;0;100
